make,model,engine_size,trim,num_doors,mileage,reg_year,transmission_type,fuel_type,price
Vauxhall,Corsa,1.4i,ecoTEC Griffin,2,"68,065 miles",2019 reg,Manual,Petrol,"£7,300"
Ford,Ka,1.2,Zetec White Edition,2,"39,307 miles",2015 reg,Manual,Petrol,"£6,250"
Peugeot,108,1.0,Active,2,"21,559 miles",2019 reg,Manual,Petrol,"£7,550"
Vauxhall,Corsa,1.4i,ecoFLEX Energy (a/c),2,"57,918 miles",2016 reg,Manual,Petrol,"£6,450"
Vauxhall,Corsa,1.4i,ecoFLEX Limited Edition,2,"70,234 miles",2016 reg,Manual,Petrol,"£6,500"
Vauxhall,Corsa,1.4i,ecoTEC Limited Edition,2,"52,488 miles",2018 reg,Manual,Petrol,"£8,000"
Ford,Fiesta,1.5,TDCi Titanium,2,"64,440 miles",2018 reg,Manual,Diesel,"£8,600"
Fiat,500,0.9,TwinAir Lounge,2,"36,535 miles",2016 reg,Manual,Petrol,"was £6,750£6,600"
Fiat,500,1.2,Lounge,2,"25,758 miles",2018 reg,Manual,Petrol,"£8,550"
Fiat,500,0.9,TwinAir Lounge,2,"10,609 miles",2018 reg,Manual,Petrol,"£8,800"
Vauxhall,Corsa,1.0i,Turbo ecoFLEX Limited Edition,2,"63,188 miles",2016 reg,Manual,Petrol,"£6,700"
Vauxhall,Corsa,1.4i,ecoTEC SRi Nav,2,"50,448 miles",2019 reg,Manual,Petrol,"£8,050"
Fiat,500,1.2,Lounge,2,"45,900 miles",2017 reg,Manual,Petrol,"£8,350"
Ford,Fiesta,1.0T,EcoBoost Zetec,2,"42,197 miles",2018 reg,Manual,Petrol,"was £8,750£8,600"
Seat,Mii,1.0,12v Mii by Cosmopolitan,2,"28,573 miles",2017 reg,Manual,Petrol,"was £7,000£6,800"
Vauxhall,Corsa,1.4i,Energy,2,"47,459 miles",2019 reg,Manual,Petrol,"£8,100"
Smart,fortwo,1.0,Passion Twinamic,2,"21,721 miles",2018 reg,Auto,Petrol,"£8,600"
Smart,fortwo,1.0,Prime,2,"32,187 miles",2017 reg,Manual,Petrol,"£6,950"
Fiat,500,1.2,Lounge,2,"54,130 miles",2017 reg,Manual,Petrol,"£6,950"
Toyota,AYGO,1.0,VVT-i x-clusiv x-wave,2,"57,097 miles",2016 reg,Manual,Petrol,"£6,950"
Vauxhall,Corsa,1.4i,ecoTEC SRi Nav,2,"21,243 miles",2018 reg,Manual,Petrol,"£8,750"
Toyota,AYGO,1.0,VVT-i x-play,2,"45,057 miles",2017 reg,Manual,Petrol,"£7,000"
Ford,Fiesta,1.0T,EcoBoost Zetec S,2,"76,612 miles",2016 reg,Manual,Petrol,"£7,050"
DS,DS 3,1.2,PureTech Chic,2,"47,104 miles",2016 reg,Manual,Petrol,"£7,050"
Vauxhall,Corsa,1.4i,ecoTEC Energy,2,"17,701 miles",2018 reg,Manual,Petrol,"£8,650"
DS,DS 3,1.2,PureTech Chic,2,"45,428 miles",2016 reg,Manual,Petrol,"£7,100"
Seat,Ibiza,1.4,Toca Sport Euro 5,2,"29,114 miles",2016 reg,Manual,Petrol,"£7,100"
Vauxhall,Astra GTC,1.6,CDTi ecoFLEX SRi,2,"64,970 miles",2016 reg,Manual,Diesel,"£7,150"
Ford,Fiesta,1.25,Zetec,2,"40,774 miles",2016 reg,Manual,Petrol,"£7,200"
Ford,Ka,1.2,Zetec White Edition,2,"27,212 miles",2016 reg,Manual,Petrol,"£7,250"
Ford,Fiesta,1.25,Zetec,2,"45,038 miles",2017 reg,Manual,Petrol,"£7,250"
Vauxhall,Corsa,1.4i,ecoTEC Energy,2,"22,864 miles",2019 reg,Manual,Petrol,"£8,800"
Seat,Ibiza,1.2,TSI FR Sport,2,"64,301 miles",2016 reg,Manual,Petrol,"£7,300"
DS,DS 3,1.2,PureTech Elegance,2,"47,787 miles",2016 reg,Manual,Petrol,"£7,350"
Ford,Fiesta,1.1,Ti-VCT Zetec,2,"20,742 miles",2019 reg,Manual,Petrol,"£9,600"
Ford,Fiesta,1.1,Ti-VCT Zetec,2,"24,248 miles",2019 reg,Manual,Petrol,"£9,650"
Vauxhall,Corsa,1.4i,ecoTEC Energy,2,"17,870 miles",2019 reg,Manual,Petrol,"£8,950"
Vauxhall,ADAM,1.2i,ENERGISED,2,"32,353 miles",2019 reg,Manual,Petrol,"£8,950"
Ford,Fiesta,1.0T,EcoBoost Titanium,2,"38,175 miles",2018 reg,Manual,Petrol,"£9,500"
Vauxhall,Corsa,1.4i,Turbo Black Edition,2,"62,632 miles",2016 reg,Manual,Petrol,"£7,500"
Volkswagen,Polo,1.2,TSI BlueMotion Tech SE,2,"73,594 miles",2015 reg,Manual,Petrol,"£7,500"
Fiat,500,1.2,Collezione Fall,2,"26,400 miles",2019 reg,Manual,Petrol,"£9,550"
Vauxhall,Corsa,1.4i,ecoFLEX Limited Edition,2,"49,160 miles",2016 reg,Manual,Petrol,"£7,550"
Ford,Fiesta,1.0T,EcoBoost ST-Line,2,"70,423 miles",2016 reg,Manual,Petrol,"£7,550"
Fiat,500,1.0,MHEV Lounge,2,"11,729 miles",2021 reg,Manual,,"£10,400"
Ford,Fiesta,1.0T,EcoBoost Titanium,2,"34,561 miles",2018 reg,Manual,Petrol,"£9,800"
Fiat,500,1.2,Lounge,2,"21,697 miles",2017 reg,Manual,Petrol,"£7,700"
Ford,Fiesta,1.0T,EcoBoost Zetec S,2,"49,748 miles",2016 reg,Manual,Petrol,"£7,750"
Peugeot,208,1.2,PureTech GT Line,2,"56,273 miles",2016 reg,Manual,Petrol,"£7,800"
Fiat,500,1.0,MHEV Star,2,"14,858 miles",2020 reg,Manual,Petrol,"£10,450"
Vauxhall,Corsa,1.4i,ecoFLEX Limited Edition,2,"11,607 miles",2016 reg,Manual,Petrol,"was £8,000£7,850"
Ford,Fiesta,1.0T,EcoBoost ST-Line X,2,"56,327 miles",2018 reg,Manual,Petrol,"£10,050"
Ford,Fiesta,1.1,Ti-VCT Zetec B&O Play Series,2,"3,196 miles",2018 reg,Manual,Petrol,"was £10,300£10,100"
Vauxhall,ADAM,1.2i,ecoFLEX ENERGISED,2,"35,041 miles",2017 reg,Manual,Petrol,"£7,900"
Vauxhall,Corsa,1.4i,Turbo ecoTEC SRi VX Line,2,"37,504 miles",2017 reg,Manual,Petrol,"£7,950"
Vauxhall,ADAM,1.4i,GLAM,2,"26,354 miles",2016 reg,Manual,Petrol,"£7,950"
DS,DS 3,1.2,PureTech Elegance,2,"37,241 miles",2016 reg,Manual,Petrol,"£7,950"
Ford,Fiesta,1.0T,EcoBoost Zetec,2,"22,693 miles",2016 reg,Manual,Petrol,"£7,950"
Mini,Hatch,1.5,Cooper Classic,2,"16,198 miles",2019 reg,Manual,Petrol,"was £11,800£11,450"
Ford,Fiesta,1.0T,EcoBoost ST-Line X,2,"46,877 miles",2018 reg,Manual,Petrol,"£10,350"
Ford,Ka,1.2,Zetec Black Edition,2,"7,066 miles",2016 reg,Manual,Petrol,"£8,050"
Kia,Picanto,1.0,SR7,2,"19,985 miles",2016 reg,Manual,Petrol,"£8,050"
Vauxhall,Corsa,1.4i,ecoFLEX Energy (a/c),2,"18,608 miles",2017 reg,Manual,Petrol,"£8,050"
Ford,Fiesta,1.25,Zetec Blue Edition,2,"40,900 miles",2017 reg,Manual,Petrol,"£8,100"
Seat,Leon,1.4,TSI FR Technology Sport,2,"42,126 miles",2018 reg,Manual,Petrol,"£11,350"
Vauxhall,ADAM,1.4i,ROCKS AIR,2,"25,428 miles",2015 reg,Manual,Petrol,"£8,150"
Fiat,500,1.0,MHEV Sport,2,"11,114 miles",2020 reg,Manual,Petrol,"£10,700"
Mini,Hatch,1.5,Cooper,2,"39,568 miles",2018 reg,Manual,Petrol,"was £11,350£11,150"
Abarth,595,1.4,T-Jet,2,"29,845 miles",2018 reg,Manual,Petrol,"£11,000"
Vauxhall,ADAM,1.2i,ecoFLEX ENERGISED,2,"22,312 miles",2016 reg,Manual,Petrol,"£8,250"
Ford,Fiesta,1.1,Ti-VCT Zetec,2,"39,851 miles",2017 reg,Manual,Petrol,"£8,300"
Ford,Fiesta,1.0T,EcoBoost Zetec S,2,"52,507 miles",2016 reg,Manual,Petrol,"£8,300"
Volkswagen,Polo,1.2,TSI BlueMotion Tech Match,2,"79,493 miles",2016 reg,Manual,Petrol,"£8,350"
Mini,Hatch,1.5,One Classic,2,"64,451 miles",2020 reg,Manual,Petrol,"£11,250"
Smart,fortwo,0.9T,Prime (Premium) Twinamic,2,"28,936 miles",2019 reg,Auto,Petrol,"£10,250"
Ford,Fiesta,1.0T,EcoBoost ST-Line,2,"42,360 miles",2017 reg,Manual,Petrol,"£8,450"
Ford,Fiesta,1.1,Ti-VCT Zetec,2,"34,418 miles",2017 reg,Manual,Petrol,"£8,550"
Ford,Fiesta,1.0T,EcoBoost Zetec S,2,"37,715 miles",2016 reg,Manual,Petrol,"£8,550"
Mini,Hatch,1.2,One,2,"40,942 miles",2016 reg,Manual,Petrol,"£8,550"
Mini,Hatch,1.5,Cooper,2,"27,852 miles",2016 reg,Manual,Petrol,"was £8,800£8,550"
Ford,Fiesta,1.0T,EcoBoost ST-Line X,2,"42,451 miles",2018 reg,Manual,Petrol,"£10,900"
Ford,Fiesta,1.0T,EcoBoost ST-Line,2,"20,627 miles",2018 reg,Manual,Petrol,"£10,950"
Ford,Fiesta,1.0T,EcoBoost ST-Line,2,"46,715 miles",2019 reg,Manual,Petrol,"£10,750"
Seat,Ibiza,1.2,TSI FR Sport,2,"61,162 miles",2017 reg,Manual,Petrol,"£8,650"
Smart,fortwo,1.0,Prime (Premium) Twinamic,2,"31,063 miles",2017 reg,Auto,Petrol,"£8,650"
Volkswagen,up!,1.0,High up!,2,"8,018 miles",2016 reg,Manual,Petrol,"£8,700"
Mini,Hatch,1.5,Cooper,2,"17,927 miles",2018 reg,Manual,Petrol,"£12,250"
Peugeot,208,1.6,THP GTi Prestige,2,"41,472 miles",2015 reg,Manual,Petrol,"£8,850"
Mini,Hatch,1.2,One,2,"46,502 miles",2016 reg,Manual,Petrol,"£8,900"
Peugeot,208,1.6,THP GTi Prestige,2,"54,412 miles",2016 reg,Manual,Petrol,"£8,950"
Fiat,500,1.0,MHEV Lounge,2,"11,729 miles",2021 reg,Manual,,"£10,400"
Ford,Fiesta,1.0T,EcoBoost Titanium,2,"34,561 miles",2018 reg,Manual,Petrol,"£9,800"
Fiat,500,1.2,Lounge,2,"21,697 miles",2017 reg,Manual,Petrol,"£7,700"
Ford,Fiesta,1.0T,EcoBoost Zetec S,2,"49,748 miles",2016 reg,Manual,Petrol,"£7,750"
Peugeot,208,1.2,PureTech GT Line,2,"56,273 miles",2016 reg,Manual,Petrol,"£7,800"
Fiat,500,1.0,MHEV Star,2,"14,858 miles",2020 reg,Manual,Petrol,"£10,450"
Vauxhall,Corsa,1.4i,ecoFLEX Limited Edition,2,"11,607 miles",2016 reg,Manual,Petrol,"was £8,000£7,850"
Ford,Fiesta,1.0T,EcoBoost ST-Line X,2,"56,327 miles",2018 reg,Manual,Petrol,"£10,050"
Ford,Fiesta,1.1,Ti-VCT Zetec B&O Play Series,2,"3,196 miles",2018 reg,Manual,Petrol,"was £10,300£10,100"
Vauxhall,ADAM,1.2i,ecoFLEX ENERGISED,2,"35,041 miles",2017 reg,Manual,Petrol,"£7,900"
Vauxhall,Corsa,1.4i,Turbo ecoTEC SRi VX Line,2,"37,504 miles",2017 reg,Manual,Petrol,"£7,950"
Vauxhall,ADAM,1.4i,GLAM,2,"26,354 miles",2016 reg,Manual,Petrol,"£7,950"
DS,DS 3,1.2,PureTech Elegance,2,"37,241 miles",2016 reg,Manual,Petrol,"£7,950"
Ford,Fiesta,1.0T,EcoBoost Zetec,2,"22,693 miles",2016 reg,Manual,Petrol,"£7,950"
Mini,Hatch,1.5,Cooper Classic,2,"16,198 miles",2019 reg,Manual,Petrol,"was £11,800£11,450"
Ford,Fiesta,1.0T,EcoBoost ST-Line X,2,"46,877 miles",2018 reg,Manual,Petrol,"£10,350"
Ford,Ka,1.2,Zetec Black Edition,2,"7,066 miles",2016 reg,Manual,Petrol,"£8,050"
Kia,Picanto,1.0,SR7,2,"19,985 miles",2016 reg,Manual,Petrol,"£8,050"
Vauxhall,Corsa,1.4i,ecoFLEX Energy (a/c),2,"18,608 miles",2017 reg,Manual,Petrol,"£8,050"
Ford,Fiesta,1.25,Zetec Blue Edition,2,"40,900 miles",2017 reg,Manual,Petrol,"£8,100"
Seat,Leon,1.4,TSI FR Technology Sport,2,"42,126 miles",2018 reg,Manual,Petrol,"£11,350"
Vauxhall,ADAM,1.4i,ROCKS AIR,2,"25,428 miles",2015 reg,Manual,Petrol,"£8,150"
Fiat,500,1.0,MHEV Sport,2,"11,114 miles",2020 reg,Manual,Petrol,"£10,700"
Mini,Hatch,1.5,Cooper,2,"39,568 miles",2018 reg,Manual,Petrol,"was £11,350£11,150"
Abarth,595,1.4,T-Jet,2,"29,845 miles",2018 reg,Manual,Petrol,"£11,000"
Vauxhall,ADAM,1.2i,ecoFLEX ENERGISED,2,"22,312 miles",2016 reg,Manual,Petrol,"£8,250"
Ford,Fiesta,1.1,Ti-VCT Zetec,2,"39,851 miles",2017 reg,Manual,Petrol,"£8,300"
Ford,Fiesta,1.0T,EcoBoost Zetec S,2,"52,507 miles",2016 reg,Manual,Petrol,"£8,300"
Volkswagen,Polo,1.2,TSI BlueMotion Tech Match,2,"79,493 miles",2016 reg,Manual,Petrol,"£8,350"
Mini,Hatch,1.5,One Classic,2,"64,451 miles",2020 reg,Manual,Petrol,"£11,250"
Smart,fortwo,0.9T,Prime (Premium) Twinamic,2,"28,936 miles",2019 reg,Auto,Petrol,"£10,250"
Ford,Fiesta,1.0T,EcoBoost ST-Line,2,"42,360 miles",2017 reg,Manual,Petrol,"£8,450"
Ford,Fiesta,1.1,Ti-VCT Zetec,2,"34,418 miles",2017 reg,Manual,Petrol,"£8,550"
Ford,Fiesta,1.0T,EcoBoost Zetec S,2,"37,715 miles",2016 reg,Manual,Petrol,"£8,550"
Mini,Hatch,1.2,One,2,"40,942 miles",2016 reg,Manual,Petrol,"£8,550"
Mini,Hatch,1.5,Cooper,2,"27,852 miles",2016 reg,Manual,Petrol,"was £8,800£8,550"
Ford,Fiesta,1.0T,EcoBoost ST-Line X,2,"42,451 miles",2018 reg,Manual,Petrol,"£10,900"
Ford,Fiesta,1.0T,EcoBoost ST-Line,2,"20,627 miles",2018 reg,Manual,Petrol,"£10,950"
Ford,Fiesta,1.0T,EcoBoost ST-Line,2,"46,715 miles",2019 reg,Manual,Petrol,"£10,750"
Seat,Ibiza,1.2,TSI FR Sport,2,"61,162 miles",2017 reg,Manual,Petrol,"£8,650"
Smart,fortwo,1.0,Prime (Premium) Twinamic,2,"31,063 miles",2017 reg,Auto,Petrol,"£8,650"
Volkswagen,up!,1.0,High up!,2,"8,018 miles",2016 reg,Manual,Petrol,"£8,700"
Mini,Hatch,1.5,Cooper,2,"17,927 miles",2018 reg,Manual,Petrol,"£12,250"
Peugeot,208,1.6,THP GTi Prestige,2,"41,472 miles",2015 reg,Manual,Petrol,"£8,850"
Mini,Hatch,1.2,One,2,"46,502 miles",2016 reg,Manual,Petrol,"£8,900"
Peugeot,208,1.6,THP GTi Prestige,2,"54,412 miles",2016 reg,Manual,Petrol,"£8,950"
Fiat,500,1.0,MHEV Lounge,2,"11,729 miles",2021 reg,Manual,,"£10,400"
Ford,Fiesta,1.0T,EcoBoost Titanium,2,"34,561 miles",2018 reg,Manual,Petrol,"£9,800"
Fiat,500,1.2,Lounge,2,"21,697 miles",2017 reg,Manual,Petrol,"£7,700"
Ford,Fiesta,1.0T,EcoBoost Zetec S,2,"49,748 miles",2016 reg,Manual,Petrol,"£7,750"
Peugeot,208,1.2,PureTech GT Line,2,"56,273 miles",2016 reg,Manual,Petrol,"£7,800"
Fiat,500,1.0,MHEV Star,2,"14,858 miles",2020 reg,Manual,Petrol,"£10,450"
Vauxhall,Corsa,1.4i,ecoFLEX Limited Edition,2,"11,607 miles",2016 reg,Manual,Petrol,"was £8,000£7,850"
Ford,Fiesta,1.0T,EcoBoost ST-Line X,2,"56,327 miles",2018 reg,Manual,Petrol,"£10,050"
Ford,Fiesta,1.1,Ti-VCT Zetec B&O Play Series,2,"3,196 miles",2018 reg,Manual,Petrol,"was £10,300£10,100"
Vauxhall,ADAM,1.2i,ecoFLEX ENERGISED,2,"35,041 miles",2017 reg,Manual,Petrol,"£7,900"
Vauxhall,Corsa,1.4i,Turbo ecoTEC SRi VX Line,2,"37,504 miles",2017 reg,Manual,Petrol,"£7,950"
Vauxhall,ADAM,1.4i,GLAM,2,"26,354 miles",2016 reg,Manual,Petrol,"£7,950"
DS,DS 3,1.2,PureTech Elegance,2,"37,241 miles",2016 reg,Manual,Petrol,"£7,950"
Ford,Fiesta,1.0T,EcoBoost Zetec,2,"22,693 miles",2016 reg,Manual,Petrol,"£7,950"
Mini,Hatch,1.5,Cooper Classic,2,"16,198 miles",2019 reg,Manual,Petrol,"was £11,800£11,450"
Ford,Fiesta,1.0T,EcoBoost ST-Line X,2,"46,877 miles",2018 reg,Manual,Petrol,"£10,350"
Ford,Ka,1.2,Zetec Black Edition,2,"7,066 miles",2016 reg,Manual,Petrol,"£8,050"
Kia,Picanto,1.0,SR7,2,"19,985 miles",2016 reg,Manual,Petrol,"£8,050"
Vauxhall,Corsa,1.4i,ecoFLEX Energy (a/c),2,"18,608 miles",2017 reg,Manual,Petrol,"£8,050"
Ford,Fiesta,1.25,Zetec Blue Edition,2,"40,900 miles",2017 reg,Manual,Petrol,"£8,100"
Seat,Leon,1.4,TSI FR Technology Sport,2,"42,126 miles",2018 reg,Manual,Petrol,"£11,350"
Vauxhall,ADAM,1.4i,ROCKS AIR,2,"25,428 miles",2015 reg,Manual,Petrol,"£8,150"
Fiat,500,1.0,MHEV Sport,2,"11,114 miles",2020 reg,Manual,Petrol,"£10,700"
Mini,Hatch,1.5,Cooper,2,"39,568 miles",2018 reg,Manual,Petrol,"was £11,350£11,150"
Abarth,595,1.4,T-Jet,2,"29,845 miles",2018 reg,Manual,Petrol,"£11,000"
Vauxhall,ADAM,1.2i,ecoFLEX ENERGISED,2,"22,312 miles",2016 reg,Manual,Petrol,"£8,250"
Ford,Fiesta,1.1,Ti-VCT Zetec,2,"39,851 miles",2017 reg,Manual,Petrol,"£8,300"
Ford,Fiesta,1.0T,EcoBoost Zetec S,2,"52,507 miles",2016 reg,Manual,Petrol,"£8,300"
Volkswagen,Polo,1.2,TSI BlueMotion Tech Match,2,"79,493 miles",2016 reg,Manual,Petrol,"£8,350"
Mini,Hatch,1.5,One Classic,2,"64,451 miles",2020 reg,Manual,Petrol,"£11,250"
Smart,fortwo,0.9T,Prime (Premium) Twinamic,2,"28,936 miles",2019 reg,Auto,Petrol,"£10,250"
Ford,Fiesta,1.0T,EcoBoost ST-Line,2,"42,360 miles",2017 reg,Manual,Petrol,"£8,450"
Ford,Fiesta,1.1,Ti-VCT Zetec,2,"34,418 miles",2017 reg,Manual,Petrol,"£8,550"
Ford,Fiesta,1.0T,EcoBoost Zetec S,2,"37,715 miles",2016 reg,Manual,Petrol,"£8,550"
Mini,Hatch,1.2,One,2,"40,942 miles",2016 reg,Manual,Petrol,"£8,550"
Mini,Hatch,1.5,Cooper,2,"27,852 miles",2016 reg,Manual,Petrol,"was £8,800£8,550"
Ford,Fiesta,1.0T,EcoBoost ST-Line X,2,"42,451 miles",2018 reg,Manual,Petrol,"£10,900"
Ford,Fiesta,1.0T,EcoBoost ST-Line,2,"20,627 miles",2018 reg,Manual,Petrol,"£10,950"
Ford,Fiesta,1.0T,EcoBoost ST-Line,2,"46,715 miles",2019 reg,Manual,Petrol,"£10,750"
Seat,Ibiza,1.2,TSI FR Sport,2,"61,162 miles",2017 reg,Manual,Petrol,"£8,650"
Smart,fortwo,1.0,Prime (Premium) Twinamic,2,"31,063 miles",2017 reg,Auto,Petrol,"£8,650"
Volkswagen,up!,1.0,High up!,2,"8,018 miles",2016 reg,Manual,Petrol,"£8,700"
Mini,Hatch,1.5,Cooper,2,"17,927 miles",2018 reg,Manual,Petrol,"£12,250"
Peugeot,208,1.6,THP GTi Prestige,2,"41,472 miles",2015 reg,Manual,Petrol,"£8,850"
Mini,Hatch,1.2,One,2,"46,502 miles",2016 reg,Manual,Petrol,"£8,900"
Peugeot,208,1.6,THP GTi Prestige,2,"54,412 miles",2016 reg,Manual,Petrol,"£8,950"
Fiat,500,1.0,MHEV Lounge,2,"11,729 miles",2021 reg,Manual,,"£10,400"
Ford,Fiesta,1.0T,EcoBoost Titanium,2,"34,561 miles",2018 reg,Manual,Petrol,"£9,800"
Fiat,500,1.2,Lounge,2,"21,697 miles",2017 reg,Manual,Petrol,"£7,700"
Ford,Fiesta,1.0T,EcoBoost Zetec S,2,"49,748 miles",2016 reg,Manual,Petrol,"£7,750"
Peugeot,208,1.2,PureTech GT Line,2,"56,273 miles",2016 reg,Manual,Petrol,"£7,800"
Fiat,500,1.0,MHEV Star,2,"14,858 miles",2020 reg,Manual,Petrol,"£10,450"
Vauxhall,Corsa,1.4i,ecoFLEX Limited Edition,2,"11,607 miles",2016 reg,Manual,Petrol,"was £8,000£7,850"
Ford,Fiesta,1.0T,EcoBoost ST-Line X,2,"56,327 miles",2018 reg,Manual,Petrol,"£10,050"
Ford,Fiesta,1.1,Ti-VCT Zetec B&O Play Series,2,"3,196 miles",2018 reg,Manual,Petrol,"was £10,300£10,100"
Vauxhall,ADAM,1.2i,ecoFLEX ENERGISED,2,"35,041 miles",2017 reg,Manual,Petrol,"£7,900"
Vauxhall,Corsa,1.4i,Turbo ecoTEC SRi VX Line,2,"37,504 miles",2017 reg,Manual,Petrol,"£7,950"
Vauxhall,ADAM,1.4i,GLAM,2,"26,354 miles",2016 reg,Manual,Petrol,"£7,950"
DS,DS 3,1.2,PureTech Elegance,2,"37,241 miles",2016 reg,Manual,Petrol,"£7,950"
Ford,Fiesta,1.0T,EcoBoost Zetec,2,"22,693 miles",2016 reg,Manual,Petrol,"£7,950"
Mini,Hatch,1.5,Cooper Classic,2,"16,198 miles",2019 reg,Manual,Petrol,"was £11,800£11,450"
Ford,Fiesta,1.0T,EcoBoost ST-Line X,2,"46,877 miles",2018 reg,Manual,Petrol,"£10,350"
Ford,Ka,1.2,Zetec Black Edition,2,"7,066 miles",2016 reg,Manual,Petrol,"£8,050"
Kia,Picanto,1.0,SR7,2,"19,985 miles",2016 reg,Manual,Petrol,"£8,050"
Vauxhall,Corsa,1.4i,ecoFLEX Energy (a/c),2,"18,608 miles",2017 reg,Manual,Petrol,"£8,050"
Ford,Fiesta,1.25,Zetec Blue Edition,2,"40,900 miles",2017 reg,Manual,Petrol,"£8,100"
Seat,Leon,1.4,TSI FR Technology Sport,2,"42,126 miles",2018 reg,Manual,Petrol,"£11,350"
Vauxhall,ADAM,1.4i,ROCKS AIR,2,"25,428 miles",2015 reg,Manual,Petrol,"£8,150"
Fiat,500,1.0,MHEV Sport,2,"11,114 miles",2020 reg,Manual,Petrol,"£10,700"
Mini,Hatch,1.5,Cooper,2,"39,568 miles",2018 reg,Manual,Petrol,"was £11,350£11,150"
Abarth,595,1.4,T-Jet,2,"29,845 miles",2018 reg,Manual,Petrol,"£11,000"
